item, sku, size, order_num, date_of_purchase, purchase_price, status, status_update_date
Jordan 5 Retro Raging Bull Red (2021), DD0587-600, 12, 31901552-31801311, Not Set, 267.53, Shipped To StockX, Thu 30 Dec 2021 - 11:55:27 AM
Jordan 13 Retro Obsidian Powder Blue White, 414571-144, 9, 31518963-31418722, Not Set, 183.25, Shipped To StockX, Thu 30 Dec 2021 - 12:32:28 PM
Jordan 14 Retro Winterized Archaeo Brown, DO9406-200, 11, 31600554-31500313, Not Set, 212.23, Arrived At StockX, Thu 30 Dec 2021 - 12:35:31 PM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 9, 31846565-31746324, Not Set, 167.21, Shipped To StockX, Thu 30 Dec 2021 - 12:41:58 PM
Jordan 14 Retro Winterized Archaeo Brown, DO9406-200, 11.5, 31614873-31514632, Not Set, 212.23, Arrived At StockX, Thu 30 Dec 2021 - 12:56:33 PM
Jordan 14 Retro Winterized Archaeo Brown, DO9406-200, 11.5, 31612107-31511866, Not Set, 212.23, Arrived At StockX, Thu 30 Dec 2021 - 01:08:46 PM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 7, 31827902-31727661, Not Set, 217.37, Arrived At StockX, Thu 30 Dec 2021 - 01:14:17 PM
Jordan 14 Retro Winterized Archaeo Brown, DO9406-200, 11.5, 31605286-31505045, Not Set, 212.23, Arrived At StockX, Thu 30 Dec 2021 - 01:20:43 PM
Jordan 5 Retro Alternate Grape, 136027-500, 10, 31860629-31760388, Not Set, 235.14, Refund Issued, Thu 30 Dec 2021 - 01:38:57 PM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 7, 31918944-31818703, Not Set, 214.24, Order Confirmed, Thu 30 Dec 2021 - 01:53:11 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 6.5Y, 31882771-31782530, Not Set, 134.14, Shipped To StockX, Thu 30 Dec 2021 - 01:54:05 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 6.5Y, 31882771-31782530, Not Set, 134.14, Arrived At StockX, Thu 30 Dec 2021 - 01:54:11 PM
Jordan 1 Low Green Toe (GS), 553560-371, 6.5Y, 31805090-31704849, Not Set, 135.14, Arrived At StockX, Thu 30 Dec 2021 - 02:04:30 PM
adidas Yeezy Boost 700 MNVN Honey Flux, GZ0717, 6.5, 31837573-31737332, Not Set, 184.28, Shipped To StockX, Thu 30 Dec 2021 - 02:18:47 PM
adidas Yeezy Boost 350 V2 Carbon, FZ5000, 10, 31920578-31820337, Not Set, 260.22, Order Confirmed, Thu 30 Dec 2021 - 02:28:59 PM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 10, 31499669-31399428, Not Set, 145.14, Delivered, Thu 30 Dec 2021 - 02:31:49 PM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 12, 31471148-31370907, Not Set, 186.50, Delivered, Thu 30 Dec 2021 - 02:32:11 PM
Jordan 1 Low Green Toe (GS), 553560-371, 5.5Y, 31543015-31442774, Not Set, 135.14, Delivered, Thu 30 Dec 2021 - 02:51:40 PM
Jordan 5 Retro White Stealth (2021), DD0587-140, 9, 31761785-31661544, Not Set, 202.74, Delivered, Thu 30 Dec 2021 - 03:00:33 PM
Jordan 14 Retro Winterized Archaeo Brown, DO9406-200, 7, 31617862-31517621, Not Set, 170.83, Delivered, Thu 30 Dec 2021 - 03:02:45 PM
Jordan 1 Low Green Toe (GS), 553560-371, 6.5Y, 31922220-31821979, Not Set, 136.14, Order Confirmed, Thu 30 Dec 2021 - 03:03:16 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 7Y, 31814236-31713995, Not Set, 129.14, Arrived At StockX, Thu 30 Dec 2021 - 03:06:23 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 6Y, 31833544-31733303, Not Set, 130.14, Arrived At StockX, Thu 30 Dec 2021 - 03:06:33 PM
Jordan 13 Retro Obsidian Powder Blue White, 414571-144, 10, 31565763-31465522, Not Set, 178.07, Delivered, Thu 30 Dec 2021 - 03:11:18 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 10, 31460701-31360460, Not Set, 166.14, Delivered, Thu 30 Dec 2021 - 03:11:17 PM
adidas Yeezy Foam RNNR MX Sand Grey, GY3969, 13, 31493698-31393457, Not Set, 251.86, Delivered, Thu 30 Dec 2021 - 03:11:17 PM
Jordan 6 Retro Carmine (2021), CT8529-106, 9, 31505650-31405409, Not Set, 226.78, Delivered, Thu 30 Dec 2021 - 03:11:24 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 12, 31475802-31375561, Not Set, 176.20, Delivered, Thu 30 Dec 2021 - 03:11:30 PM
adidas Yeezy Boost 700 MNVN Honey Flux, GZ0717, 7.5, 31452923-31352682, Not Set, 166.69, Delivered, Thu 30 Dec 2021 - 03:12:03 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 10.5, 31479761-31379520, Not Set, 162.14, Delivered, Thu 30 Dec 2021 - 03:12:43 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 9.5, 31463167-31362926, Not Set, 160.14, Delivered, Thu 30 Dec 2021 - 03:12:49 PM
Jordan 1 Mid Arctic Orange Black Toe (GS), 554725-133, 5Y, 31922801-31822560, Not Set, 186.89, Order Confirmed, Thu 30 Dec 2021 - 03:13:08 PM
Nike Dunk High Syracuse (2021), DD1399-101, 10, 31494414-31394173, Not Set, 204.74, Delivered, Thu 30 Dec 2021 - 03:13:45 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 13, 31485449-31385208, Not Set, 185.47, Delivered, Thu 30 Dec 2021 - 03:26:43 PM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 9, 31497843-31397602, Not Set, 136.14, Delivered, Thu 30 Dec 2021 - 03:27:15 PM
Jordan 1 Low Green Toe (GS), 553560-371, 6.5Y, 31889271-31789030, Not Set, 136.14, Shipped To StockX, Thu 30 Dec 2021 - 03:32:44 PM
Jordan 1 Low Green Toe (GS), 553560-371, 6.5Y, 31889271-31789030, Not Set, 136.14, Arrived At StockX, Thu 30 Dec 2021 - 03:32:57 PM
Nike Dunk High Syracuse (2021), DD1399-101, 9, 31559565-31459324, Not Set, 173.24, Arrived At StockX, Thu 30 Dec 2021 - 03:47:13 PM
Jordan 1 Low Green Toe (GS), 553560-371, 7Y, 31925290-31825049, Not Set, 131.14, Order Confirmed, Thu 30 Dec 2021 - 03:54:37 PM
